KALKULATIONSÜBERSICHT (I)  –  DECKUNGSBEITRAG ;;;;Funkwerk  Karlsfeld;
;;;;;
PROJEKT;;;;;
;Angeb. Nr.;Angebot Nr. 1100/23/1;;;
;Angeb. Titel;Angebotstitel;;;
;Kunde;ÖBB;;;
;;;;;
UMSATZ;;26.412,00;;;
;Lieferungen;19.853,00;;;
;Leistungen;6.559,00;;;
;Sonstiges;0,00;;;
;;;;;
HERSTELLKOSTEN;;17.983,00;;16,78%;FREMDANTEIL
;;;;;
;MATERIAL;13.182,75;;;
;Eigenmaterial:;;;;
;Hausteile;10.165,00;;;
;Fremdmaterial:;;;;
;Vorratsmaterial;1.517,75;;;
;Bestimmungsmaterial;0,00;;;
;Unteraufträge;1.500,00;;;
;;;;;
;LEISTUNGEN;2.746,25;;;
;Eigenleistungen (Leistungsverrechnung);2.746,25;;;
;Fremdleistungen (KapaEngpass);0,00;;;
;;;;;
;SONSTIGE;2.054,00;;;
;;;;;
DECKUNGSBEITRAG 1;;8.247,94;31,23%;;
;;;;;
GEMEINKOSTEN 1;;181,07;;;
;Material;181,07;6,00%;;
;Personal;0,00;;;
;;;;;
HERSTELLKOSTEN INKL. GK;;18.164,07;;;
;;;;;
GEMEINKOSTEN 2;;3.269,53;;;
;Verwaltung;1.634,77;9,00%;;
;Vertrieb;1.089,84;6,00%;;
;Entwicklung;544,92;3,00%;;
;;;;;
SELBSTKOSTEN;;21.433,60;;;
;;;;;
DECKUNGSBEITRAG FITK (Umsatz-Selbstkosten);;4.978,40;18,85%;;
;;;;;
GARANTIEKOSTEN;;539,49;3,00%;(auf Herstellkosten);
;;;;;
SICHERHEIT;;359,66;2,00%;(auf Herstellkosten);
;;;;;
GEWINN;;4.079,25;15,44%;;
;;;;;
BEARBEITER;;;;FREIGABE;
;Angebotsleiter (Name);Ringler;;Name;Herrmann
;Datum;10.07.2023;;Datum;10.07.2023
;;;;;
;;;;;
;Unterschrift;;;Unterschrift;
;;;;;
